epoch,test_loss,test_rmsae_deg,epoch_time_s,lr
1,0.06621837615966797,21.197092056274414,403.40150521300166,0.0001
2,0.03904655575752258,14.446820259094238,405.02321495199794,0.0001
3,0.0346691720187664,13.241743087768555,395.69779907700286,0.0001
4,0.03151867166161537,11.961029052734375,414.6388239219996,0.0001
5,0.031850360333919525,11.36509895324707,406.037446999002,0.0001
6,0.02848535217344761,10.146315574645996,413.62627815200176,0.0001
7,0.031091023236513138,11.578741073608398,399.5205612819991,0.0001
8,0.028363047167658806,10.04185676574707,413.8797409719991,0.0001
9,0.028012191876769066,9.696550369262695,401.29747160400075,0.0001
10,0.028781434521079063,9.89144229888916,418.6417162120015,0.0001
11,0.026997240260243416,8.963837623596191,406.55747207199965,0.0001
12,0.027453208342194557,9.58847713470459,405.8438308830009,0.0001
13,0.02705029584467411,9.327247619628906,412.40762968000126,0.0001
14,0.02672329731285572,8.658841133117676,403.2630657580012,0.0001
15,0.025829751044511795,8.835062980651855,407.92830878000314,0.0001
16,0.027183812111616135,8.934722900390625,410.4867085299993,0.0001
17,0.03105868399143219,10.681279182434082,398.97055396299766,0.0001
18,0.028283795341849327,9.49178409576416,410.34791880299963,0.0001
19,0.02543441392481327,8.516592979431152,402.0199073719996,0.0001
20,0.025867287069559097,8.338860511779785,417.8486051250002,0.0001
21,0.026475075632333755,8.856011390686035,403.8891109110009,0.0001
22,0.02577286958694458,7.934538841247559,416.3616002910021,0.0001
23,0.027538757771253586,8.48095703125,405.8222274810032,0.0001
24,0.02648349665105343,8.042393684387207,406.75396233399806,0.0001
25,0.0256118793040514,7.788504123687744,419.65794520599957,0.0001
