epoch,test_loss,test_rmsae_deg,epoch_time_s,lr
1,0.1947319060564041,37.776039123535156,420.0361264480007,0.0001
2,0.04739280790090561,16.76641845703125,422.0313302169998,0.0001
3,0.03537467122077942,13.572970390319824,410.49372504499934,0.0001
4,0.031947921961545944,11.989508628845215,430.11326028000076,0.0001
5,0.03142295777797699,11.143012046813965,421.761821477,0.0001
6,0.02840753085911274,9.875558853149414,428.1625765230001,0.0001
7,0.0308131854981184,11.591178894042969,413.98601753300045,0.0001
8,0.0284147709608078,10.178153038024902,426.85591459199986,0.0001
9,0.02804010920226574,9.702499389648438,415.1489739860008,0.0001
10,0.028477994725108147,9.877360343933105,432.7485340059993,0.0001
11,0.026873670518398285,8.923487663269043,420.02521432999856,0.0001
12,0.02635139599442482,8.96899127960205,420.0777647499999,0.0001
13,0.025648143142461777,8.521783828735352,424.91341976500007,0.0001
14,0.025659114122390747,8.448006629943848,416.31566963799924,0.0001
15,0.024787800386548042,8.548604011535645,421.0150324690003,0.0001
16,0.026766769587993622,8.894001960754395,423.9531050099995,0.0001
17,0.030235398560762405,9.977882385253906,411.7567975239999,0.0001
18,0.02790890634059906,9.315531730651855,423.88009380900075,0.0001
19,0.024932727217674255,8.242474555969238,415.40518279500066,0.0001
20,0.025548337027430534,8.156803131103516,430.76476007400015,0.0001
21,0.025669680908322334,8.351716041564941,417.24020141300025,0.0001
22,0.024898193776607513,7.445070266723633,428.90758255499895,0.0001
23,0.026368997991085052,8.109280586242676,417.9806377799996,0.0001
24,0.02554800547659397,7.459996700286865,417.60623753100117,0.0001
25,0.025088006630539894,7.4873175621032715,432.57842283100035,0.0001
