epoch,test_loss,test_rmsae_deg,epoch_time_s,lr
1,0.06180049479007721,20.324064254760742,414.56585767399883,0.0001
2,0.04294157773256302,16.011947631835938,417.16128686199954,0.0001
3,0.03638167679309845,13.983526229858398,407.5488572210015,0.0001
4,0.03275999799370766,12.635581016540527,426.1535774719996,0.0001
5,0.03233594819903374,11.749812126159668,417.47666675500295,0.0001
6,0.028518015518784523,10.194479942321777,425.64523446599924,0.0001
7,0.03135548532009125,11.287845611572266,412.1275305449999,0.0001
8,0.02929782122373581,10.724812507629395,425.5847968399976,0.0001
9,0.028636347502470016,10.417375564575195,411.92638353299844,0.0001
10,0.02871568500995636,9.951957702636719,428.4450253879986,0.0001
11,0.02737918123602867,9.34606647491455,414.6041210129988,0.0001
12,0.027152100577950478,9.599721908569336,415.97072600499814,0.0001
13,0.026061393320560455,9.188394546508789,423.03367144500226,0.0001
14,0.02613227814435959,8.751091957092285,416.51556657999754,0.0001
15,0.025401830673217773,9.0880765914917,419.757749710996,0.0001
16,0.027219580486416817,8.959235191345215,422.6483427839994,0.0001
17,0.03082628734409809,10.53400993347168,411.3310304170009,0.0001
18,0.02858981117606163,9.63232707977295,421.6015530650038,0.0001
19,0.025357531383633614,8.79884147644043,412.7102072330017,0.0001
20,0.025692956522107124,8.559853553771973,427.1114736870004,0.0001
21,0.02609178051352501,8.657769203186035,415.1311832020001,0.0001
22,0.02542215585708618,7.99873161315918,427.26623290000134,0.0001
23,0.027459871023893356,8.58962631225586,416.5940000970004,0.0001
24,0.02619827166199684,8.071914672851562,418.13165499399474,0.0001
25,0.025557132437825203,7.874738693237305,431.3063511709988,0.0001
