epoch,phase,lr,batch_size,micro_batch_size,train_loss,val_loss,val_rmsae_deg,epoch_time_s
1,1,0.0001,1,1,0.1118866884109811,0.06365107581950724,17.53418007493019,969.1906234540511
2,1,0.0001,1,1,0.05007796778192378,0.04340882698306814,15.974659964442253,969.5101075118873
3,1,0.0001,1,1,0.04329439685958573,0.03466960263904184,12.491416245698929,973.0430557969958
4,1,0.0001,1,1,0.03665492337228905,0.032942597521469,11.982644081115723,980.8656598099042
5,1,0.0001,1,1,0.03457350262846702,0.031462089042179286,11.730083674192429,979.4124680471141
6,1,0.0001,1,1,0.03305024604161835,0.03343739703996107,12.348667800426483,965.6644312608987
7,1,0.0001,1,1,0.031255964681697196,0.028983562369830906,10.111198082566261,969.9571341788396
8,1,0.0001,1,1,0.030656252276056853,0.02847776928683743,9.637585759162903,982.1235614179168
9,1,0.0001,1,1,0.028973271314086568,0.027354566351277754,9.941068902611732,982.656636592932
10,1,0.0001,1,1,0.02942484597492422,0.028077103110263124,9.156886875629425,978.5947508169338
11,1,0.0001,1,1,0.027575414003724725,0.02667704870691523,9.493494302034378,979.2329190850724
12,1,0.0001,1,1,0.027500954668363956,0.026200231339316815,8.605293661355972,978.8176483130082
13,1,0.0001,1,1,0.02673647129892284,0.026395635068183765,8.468094155192375,975.4005113928579
14,1,0.0001,1,1,0.026415151671275623,0.026029187720268965,8.685880720615387,967.1103601958603
15,1,0.0001,1,1,0.026080400910642412,0.025550506776198745,8.92985425889492,975.7370909219608
16,1,0.0001,1,1,0.025830204506269376,0.025665257911896333,7.856689535081387,976.4676255939994
17,1,0.0001,1,1,0.026376624290759747,0.024951522733317688,7.896226093173027,987.9274620278738
18,1,0.0001,1,1,0.025473313172085163,0.025064623390790075,7.908773556351662,968.713812768925
19,1,0.0001,1,1,0.025063427397583285,0.025067534210393205,7.44488862156868,974.3791193470825
20,1,0.0001,1,1,0.024980806548180235,0.02452937714406289,7.724404513835907,972.9307753511239
21,2,1e-05,10,1,0.026781120086009177,0.024525302898837253,7.5147619396448135,965.0395666789263
22,2,1e-05,10,1,0.025982500803776277,0.024457934749079868,7.616381794214249,976.2145977048203
23,2,1e-05,10,1,0.02633883326003949,0.024473300582030788,7.600460708141327,981.600976269925
24,2,1e-05,10,1,0.026274163723310345,0.024474825273500755,7.573583036661148,976.4475787780248
25,2,1e-05,10,1,0.025697236775587766,0.02440308959921822,7.680848687887192,960.8628062000498
26,2,1e-05,10,1,0.025464979040189687,0.02444471069611609,7.650014162063599,962.7880638209172
27,2,1e-05,10,1,0.025456484246394063,0.024383257055887952,7.725816681981087,955.9889531210065
28,2,1e-05,10,1,0.02630017391191079,0.02438561970484443,7.64204540848732,970.5356363961473
29,2,1e-05,10,1,0.026568754501322397,0.02438994203112088,7.635542958974838,983.5457479360048
30,2,1e-05,10,1,0.0266685177373071,0.02435570178204216,7.693957552313805,975.592157876119
31,2,1e-05,10,1,0.025946608163480066,0.024374194792471826,7.631849393248558,966.795371936867
32,2,1e-05,10,1,0.02547813228243946,0.024374916858505458,7.638979032635689,963.7424267239403
33,2,1e-05,10,1,0.025990548139262912,0.024314995971508324,7.646301582455635,960.9593249028549
34,2,1e-05,10,1,0.026109534008508056,0.024347251775907353,7.597759932279587,971.6065160869621
35,2,1e-05,10,1,0.025927879204416377,0.02436331516946666,7.613951221108437,972.8700261970516
36,2,1e-05,10,1,0.026131533726285665,0.02442123371292837,7.548936873674393,969.2216415940784
37,2,1e-05,10,1,0.025789317190965527,0.024336814793059602,7.6085271537303925,959.3033672040328
38,2,1e-05,10,1,0.025648133049153875,0.02442023844923824,7.576414585113525,966.9779379661195
39,2,1e-05,10,1,0.025476945637383012,0.02442114701261744,7.610845297574997,980.3927447590977
40,2,1e-05,10,1,0.02620354657117118,0.024398382927756757,7.6474001705646515,986.7877008209471
41,2,1e-05,10,1,0.025361913291371278,0.024364498211070895,7.6894024312496185,958.2314566969872
42,2,1e-05,10,1,0.02559824982482908,0.02437117585213855,7.767242819070816,975.5738234838936
