epoch,phase,lr,batch_size,micro_batch_size,train_loss,val_loss,val_rmsae_deg,epoch_time_s
1,1,0.0001,1,1,0.137225996174364,0.07040609780233353,17.68718248605728,980.1041957430002
2,1,0.0001,1,1,0.05064424511650179,0.039257008815184236,13.192497789859772,947.7328969379996
3,1,0.0001,1,1,0.03742571986383862,0.03357022034469992,11.984553948044777,949.0464813320004
4,1,0.0001,1,1,0.03209732390112347,0.03016839356860146,10.14638315141201,957.2965226030001
5,1,0.0001,1,1,0.03065664447270907,0.028468541597248986,10.099364951252937,958.1464943370001
6,1,0.0001,1,1,0.029607609917338077,0.031236760871252045,11.938509747385979,942.9019754640012
7,1,0.0001,1,1,0.02870476931715623,0.028832578187575564,10.885674506425858,945.839022963999
8,1,0.0001,1,1,0.028245991091124523,0.028019821416819468,10.14875490963459,958.8105116589995
9,1,0.0001,1,1,0.027523448813356395,0.028132203238783404,10.56067006289959,959.5918769340005
10,1,0.0001,1,1,0.02818644485858261,0.02708593284478411,8.95940451323986,955.807846609001
11,1,0.0001,1,1,0.026598605457852538,0.02761849999660626,10.212738379836082,952.8725177809993
12,1,0.0001,1,1,0.02711677329821719,0.026091947249369696,8.926594212651253,953.5725435069999
13,1,0.0001,1,1,0.026605732262962395,0.027600612520473078,9.584018796682358,949.2682210309995
14,1,0.0001,1,1,0.025968074852712134,0.025507451238809153,8.925573334097862,941.9120560930005
15,1,0.0001,1,1,0.02587337455847579,0.026759216940263286,9.567912176251411,951.2379621079999
16,1,0.0001,1,1,0.025139334202449546,0.025133657589321956,7.941899612545967,951.8713200849998
17,1,0.0001,1,1,0.025810284829801983,0.02525664959102869,7.976226508617401,962.4589069530011
18,1,0.0001,1,1,0.02511595510201067,0.024949765182100236,8.085880905389786,943.8830967590002
19,1,0.0001,1,1,0.024681669427479944,0.025592618068912998,8.267864987254143,949.2777035339968
20,1,0.0001,1,1,0.02521078915327278,0.025048171111848205,8.722201570868492,946.5378360190007
21,2,1e-05,10,1,0.026838856005770528,0.02476719519472681,8.353076562285423,942.0846780130014
22,2,1e-05,10,1,0.02562226058803817,0.024754413549089804,8.24523475766182,950.8696262770027
23,2,1e-05,10,1,0.026176270998568615,0.02474875541520305,8.199054196476936,956.6520852180001
24,2,1e-05,10,1,0.02596738882139962,0.02472930890507996,8.134997799992561,950.6397954499989
25,2,1e-05,10,1,0.025541292863269137,0.024711774196475744,8.225623980164528,933.3746400929995
26,2,1e-05,10,1,0.025345141450181987,0.024701973015908152,8.203736439347267,936.9815191679991
27,2,1e-05,10,1,0.02529487548252711,0.02468653960386291,8.180935934185982,929.1825461690023
28,2,1e-05,10,1,0.026086811826397212,0.024678930029040202,8.125143632292747,944.5606403499987
29,2,1e-05,10,1,0.026457518926606728,0.02469686375115998,8.092636749148369,957.767909184
30,2,1e-05,10,1,0.026558549103573855,0.024682735471287742,8.199862331151962,950.0588260059994
31,2,1e-05,10,1,0.025797084222237268,0.024672064377227798,8.178389921784401,935.9502494790031
32,2,1e-05,10,1,0.02526851191989377,0.024652208492625505,8.150879994034767,936.8581757669963
33,2,1e-05,10,1,0.025829386251031334,0.024648649035952985,8.189270123839378,935.2126548180022
34,2,1e-05,10,1,0.025901464318745158,0.02462283193017356,8.150419026613235,948.2097053369944
35,2,1e-05,10,1,0.02561812517670994,0.02458504113019444,8.093825101852417,948.1135716009958
36,2,1e-05,10,1,0.025777948824449993,0.024572015390731394,8.083672732114792,947.2896861690024
37,2,1e-05,10,1,0.025659777809921493,0.024600372387794778,8.162183612585068,936.268606853002
38,2,1e-05,10,1,0.025396680997477637,0.024608619569335133,8.107531517744064,942.7214869990057
39,2,1e-05,10,1,0.02532672823016715,0.024612698092823848,8.131738439202309,956.9987007189993
40,2,1e-05,10,1,0.02597092551489671,0.024597089417511597,8.12209202349186,963.8439909560038
41,2,1e-05,10,1,0.025194948211184932,0.024592606467194855,8.204266145825386,932.2310120319962
42,2,1e-05,10,1,0.025457697762892795,0.024625293619465083,8.22315001487732,951.8452810279996
43,2,1e-05,10,1,0.025751918743754553,0.024576444731792435,8.10344834625721,939.5879901770022
44,2,1e-05,10,1,0.025814380480820298,0.024580451485235244,8.181002080440521,945.544943576002
45,2,1e-05,10,1,0.02523754123502817,0.024615888338303193,8.072846531867981,941.7984511220056
