label,variant,run_dir,epochs,final_loss,best_loss,final_rmsae_deg,best_rmsae_deg,best_epoch,avg_epoch_time_s,latency_step_ms,param_count,maba_mac_proxy
baseline,baseline,G:\3DSLED\icocnn\maba_doa\outputs\maba_doa_r2_baseline_20260406_182558,1,0.0671648159623146,0.0671648159623146,20.107959747314453,20.107959747314453,1,747.0742195829998,171.34910820000187,290017,0
maba,maba,G:\3DSLED\icocnn\maba_doa\outputs\maba_doa_r2_maba_20260406_183831,1,0.0666888877749443,0.0666888877749443,21.904850006103516,21.904850006103516,1,753.6311327020003,167.0631957000296,298793,865200
ablation_no_gate,ablation_no_gate,G:\3DSLED\icocnn\maba_doa\outputs\maba_doa_r2_ablation_no_gate_20260406_185109,1,0.08110050112009048,0.08110050112009048,24.445785522460938,24.445785522460938,1,753.3978744279993,167.95658280007046,297769,759728
ablation_no_state,ablation_no_state,G:\3DSLED\icocnn\maba_doa\outputs\maba_doa_r2_ablation_no_state_20260406_190348,1,0.07042616605758667,0.07042616605758667,22.48748207092285,22.48748207092285,1,749.147879473001,167.83498020004117,298793,865200
