label,variant,run_dir,epoch,test_loss,test_rmsae_deg,epoch_time_s,lr
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,9.0,0.028636347502470016,10.417375564575195,411.92638353299844,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,10.0,0.02871568500995636,9.951957702636719,428.4450253879986,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,11.0,0.02737918123602867,9.34606647491455,414.6041210129988,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,12.0,0.027152100577950478,9.599721908569336,415.97072600499814,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,13.0,0.026061393320560455,9.188394546508789,423.03367144500226,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,14.0,0.02613227814435959,8.751091957092285,416.51556657999754,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,15.0,0.025401830673217773,9.0880765914917,419.757749710996,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,16.0,0.027219580486416817,8.959235191345215,422.6483427839994,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,17.0,0.03082628734409809,10.53400993347168,411.3310304170009,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,18.0,0.02858981117606163,9.63232707977295,421.6015530650038,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,19.0,0.025357531383633614,8.79884147644043,412.7102072330017,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,20.0,0.025692956522107124,8.559853553771973,427.1114736870004,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,21.0,0.02609178051352501,8.657769203186035,415.1311832020001,0.0001
