epoch,phase,lr,batch_size,micro_batch_size,train_loss,val_loss,val_rmsae_deg,epoch_time_s
1,2,1e-05,10,1,0.1689976984873796,0.07251711515709758,17.150005370378494,1000.9384046579944
2,2,1e-05,10,1,0.06000765512705359,0.04843268066179007,15.034276589751244,998.1483184220269
3,2,1e-05,10,1,0.047293179771966405,0.04116610804339871,13.897820249199867,1000.0268897960195
4,2,1e-05,10,1,0.04093053514121944,0.03604583319975063,12.790926605463028,1006.9823568449356
5,2,1e-05,10,1,0.03805132691358399,0.03311735042370856,11.961834654211998,1006.7377696729964
6,2,1e-05,10,1,0.03418128434727844,0.031026116746943444,11.389142379164696,992.6232800070429
7,2,1e-05,10,1,0.03262992198300413,0.029917119187302887,11.0430406332016,995.0786688789958
8,2,1e-05,10,1,0.03180025487214836,0.029113879427313805,10.709164172410965,1009.1584363320144
9,2,1e-05,10,1,0.030916931002567975,0.02854558452963829,10.493891447782516,1010.26312090992
10,2,1e-05,10,1,0.0320641714363144,0.028069801250239834,10.30425976216793,1006.3462093439884
11,2,1e-05,10,1,0.030303392788538566,0.02778657039743848,10.150428771972656,1006.0131009109318
12,2,1e-05,10,1,0.030063115345298225,0.027494547102833167,10.065751492977142,1007.5086138680344
13,2,1e-05,10,1,0.029905068509790123,0.02726606829673983,9.920755669474602,1006.4769233359257
14,2,1e-05,10,1,0.029126096504111576,0.02702453240635805,9.843055173754692,993.7455207309686
15,2,1e-05,10,1,0.029069775799846546,0.026899255404714495,9.772585064172745,1003.7472460489953
16,2,1e-05,10,1,0.028695487834385826,0.026642881566658616,9.623183697462082,1004.1157446129946
17,2,1e-05,10,1,0.029790479148555007,0.026538681995589286,9.583317443728447,1015.7399783730507
18,2,1e-05,10,1,0.02886603146982499,0.026319793425500393,9.41865487396717,996.3230330810184
19,2,1e-05,10,1,0.028184439584167085,0.02616623809444718,9.353120103478432,1002.7896236879751
20,2,1e-05,10,1,0.028308327895644893,0.02594069455517456,9.21823887526989,1000.2470360510051
